variable,max_abs_diff,mean_abs_diff,n_diff
ual_prov,0,0,0
ual_estr,0,0,0
ual_segm,0,0,0
cg_k100,0,0,0
cg_k101,0,0,0
cg_k102,0,0,0
cg_se_define,0,0,0
edad_rango,0,0,0
cg_superficie,0,0,0
sup_ha,0,0,0
Productor,0,0,0
cg_dispo_internet,0,0,0
sup_total_ha,0,0,0
sup_uso_total_ha,0,0,0
area.total,0,0,0
fact_exp_fin,0,0,0
fact_exp_fin_unique_values,0,0,0
tenencia_area_arrendamiento,19658,0.488935139997673,500
tenencia_area_dueño,1434,0.518203149357495,3622
tenencia_area_especiales,19658,1.00713828935517,4088
dueño,1,0.0802704740363773,3407
arrendamiento,1,0.00850532466308548,361
especiales,1,0.0886815568749411,3764
area_dueño,1434,0.518203149357495,3622
area_arrendamiento,19658,0.488935139997673,500
area_especiales,19658,1.00713828935517,4088
valor_ad,0,0,0
ad_rows,0,0,0
ad_productos,0,0,0
ad_precio_imputado_rows,0,0,0
valor_cp,0,0,0
cp_rows,0,0,0
cp_productos,0,0,0
cp_precio_imputado_rows,0,0,0
valor_ct,0,0,0
ct_rows,0,0,0
ct_productos,0,0,0
ct_precio_imputado_rows,0,0,0
valor_fp,0,0,0
fp_rows,0,0,0
fp_productos,0,0,0
fp_precio_imputado_rows,0,0,0
valor_ft,0,0,0
ft_rows,0,0,0
ft_productos,0,0,0
ft_precio_imputado_rows,0,0,0
valor_pc,0,0,0
pc_rows,0,0,0
pc_productos,0,0,0
pc_precio_imputado_rows,0,0,0
valor_ac,0,0,0
ac_rows,0,0,0
valor_ap,0,0,0
ap_rows,0,0,0
valor_gl,0,0,0
gl_rows,0,0,0
valor_gp,0,0,0
gp_rows,0,0,0
valor_gv,0,0,0
gv_rows,0,0,0
valor_oe,0,0,0
oe_rows,0,0,0
eu_k1301,0,0,0
eu_rows,0,0,0
produccion_ec,0,0,0
productividad_superficie,0,0,0
productividad_trabajo,0,0,0
